1
100 100
59 13 10
3 58 537
7 24 6
95 66 695
17 35 302
79 24 10
74 85 234
14 8 245
57 17 901
80 26 10
15 25 560
69 18 1
93 37 398
80 17 7
78 20 585
80 0 9
68 99 838
79 64 2
22 54 284
5 70 646
42 31 440
0 68 3
0 1 178
30 47 10
16 37 874
84 46 646
59 82 238
56 4 8
81 74 95
24 13 9
44 36 756
52 63 626
40 47 502
12 71 8
55 66 478
59 72 6
36 33 618
28 84 779
39 79 5
5 19 26
79 41 73
71 49 7
31 94 544
65 24 10
43 32 8
73 7 1
51 10 3
5 29 1
63 14 167
80 77 422
0 66 37
55 6 38
61 99 7
24 89 662
84 65 4
0 24 6
53 30 10
7 76 1
67 17 49
3 91 4
92 4 584
63 0 2
62 79 7
1 27 150
10 43 3
75 49 3
60 9 11
4 63 10
65 86 5
62 16 5
79 20 3
96 86 587
2 48 972
36 90 743
27 43 10
72 94 1
45 16 4
40 97 872
23 51 687
11 91 1
21 77 754
29 54 88
65 49 10
38 30 92
98 72 4
7 10 3
63 18 6
0 29 10
36 4 972
62 47 9
60 34 999
85 20 5
48 78 735
50 72 4
11 65 8
5 87 1
60 12 6
3 88 391
45 25 668
80 83 333
